FARMACIA MAGADAN


BERAZATEGUI, BUENOS AIRES (1884)

CUIT 30-71588312-7
IVA Responsable Inscripto

Ventas y Stock

IDProducto;Troquel;Codebar;Rubro;Producto;Laboratorio;Costo;PVP;Cajas Vend. ;Cajas Stock ;Cajas Vend. ;Cajas Stock ;Cajas Vend. PVT;Cajas Stock PVT;Cajas Vend. ;Cajas Stock ;Cajas Vend. ;Cajas Stock ;Cajas Vend. ;Cajas Stock ;Cajas Vend. ;Cajas Stock ;Cajas Vend. ;Cajas Stock ;Cajas Vend. ;Cajas Stock ;Cajas Vend. ;Cajas Stock ;Cajas Vend. Total;Cajas Stock Total;Codebars
3002647264;0;7798124240169;Accesorios;AGUA DE ALIBOUR  250ML - DROGAL;MEDICAL GLOVES;900.00;1524.60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;11;0;0;0.00;23;
6000019661;0;1000000064322;Accesorios;AGUJA DESCARTABLE 40X8 21GX1 1/2 X100 - GREETMED;DROGUERIA BARRACAS;3774.00;6393.16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0.00;100;
3002683741;4429;4429;Accesorios;AGUJA P/BIOPSIA SOLA 18/16 GALLINI ;DECOR MEDICA SRL;4593.80;7781.90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0.00;1;
3002781839;0;1000000050028;Accesorios;AGUJA PERICRANEAL 23G - KABU;DROGUERIA BARRACAS;108.95;184.56;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0.00;2;
3002646760;0;7790139000615;Accesorios;ALCOHOL 70%  500ML X20 - BIALCOHOL;BUENOS AIRES VISION;17174.47;29093.55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0.00;13;
3002646830;0;7790139000486;Accesorios;ALCOHOL 70% 1000ML X12 - BIALCOHOL;BUENOS AIRES VISION;27896.86;47257.28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0.00;12;
3002713400;0;7790139100681;Accesorios;ALCOHOL 70º X 500 ML GATILLO BIALCOHOL ;PERFUMERIA GENERAL PAZ;38533.91;65276.44;0;1;0;0;0;0;0;0;0;5;0;0;0;2;0;0;0;24;0;0;0.00;32;
3002647275;0;7798124240206;Accesorios;ALCOHOL BORICADO  60ML - DROGAL;MEDICAL GLOVES;562.50;952.88;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0.00;11;
3002888563;0;7793957000058;Accesorios;ALCOHOL EN GEL X 250 CC SANICOL ;SUMED;26070.00;44162.58;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;2;0;0;0;0;0.00;18;
3002888586;0;7793957000065;Accesorios;ALCOHOL EN GEL X 65 CC SANICOL ;SUMED;21600.00;36590.40;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0.00;6;
3002646589;0;7792378000012;Accesorios;ALCOHOL ETILICO  500ML X20 - MF;FRADEALCO S.A.;33219.10;56273.16;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0.00;20;
3002647205;0;7792378000135;Accesorios;ALCOHOL ETILICO 1000ML X12 - PUROCOL;DROGUERIA BARRACAS;32353.82;54807.37;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0.00;1;
3002609667;0;7798034080091;Accesorios;ALCOHOL IODADO X100ML DELVA;DROGUERIA BARRACAS;3186.85;5398.52;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0.00;5;
3002727852;0;7798028884216;Accesorios;ALMOHADILLA ELECTR C/FUNDA DESMONT SMALL AL90GR;SILFAB;36171.60;61274.69;0;0;0;1;0;1;0;1;0;1;0;0;0;1;0;1;0;1;0;1;0.00;8;
3002611549;0;7798082301995;Accesorios;ALMOHADILLAS ANTID.TACOS ALTOS LENOX X2;LENOX;7113.58;12050.40;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0.00;2;
2003800048;9950937;7891035150012;Accesorios;AMOPE EXFOLIADOR ELECTRONICO P/PIES maquina x 1;RECKITT BENCKIS;1010.25;1528.00;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.00;1;
3002650143;0;7795815050243;Accesorios;ANILINA COLIBRI TEÃ‘ FRIO 20 GRANATE ;EL INDIO;1335.26;2261.93;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0.00;2;
3002634997;0;7795815050212;Accesorios;ANILINA FRIO COLIBRI PUNZO ;HOFFMAN, JOSE;1335.26;2261.93;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;3;0;0;0;0;0.00;8;
3002634967;0;7795815050236;Accesorios;ANILINA FRIO COLIBRI RUBI ;HOFFMAN, JOSE;1335.26;2261.93;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0.00;3;
3002616852;0;7791274004803;Accesorios;ANILINAS COLIBRI AZUL BRILLANTE;EL INDIO;1335.26;2261.93;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;3;0;0;0;0;0.00;6;
3002616848;0;7795815050137;Accesorios;ANILINAS COLIBRI AZUL CIELO;HOFFMAN, JOSE;1335.27;2261.95;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0.00;4;
3002616841;0;7795815050168;Accesorios;ANILINAS COLIBRI AZUL ELECTRICO;HOFFMAN, JOSE;1335.27;2261.95;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0.00;2;
3002608035;0;7795815050175;Accesorios;ANILINAS COLIBRI AZUL MARINO;HOFFMAN, JOSE;1335.27;2261.95;0;0;0;0;0;0;0;0;0;2;1;2;0;0;0;0;0;6;0;0;1.00;10;
3002616851;0;7795815050311;Accesorios;ANILINAS COLIBRI BORDEAUX ;EL INDIO;1335.27;2261.95;0;0;0;0;0;0;0;3;0;0;0;5;0;0;0;2;0;0;0;0;0.00;10;
3002616844;0;7795815050106;Accesorios;ANILINAS COLIBRI GRIS OSCURO;HOFFMAN, JOSE;1335.27;2261.95;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0.00;2;
3002614903;0;7795815050304;Accesorios;ANILINAS COLIBRI LILA ;HOFFMAN, JOSE;1335.26;2261.93;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;8;0;0;0;0;0.00;11;
3002616843;0;7795815050083;Accesorios;ANILINAS COLIBRI MARRON OSCURO;HOFFMAN, JOSE;1335.27;2261.95;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;7;0;0;0;0;0.00;9;
3002608036;0;7795815030016;Accesorios;ANILINAS COLIBRI NEGRO ;HOFFMAN, JOSE;1335.27;2261.95;0;0;0;0;0;0;0;0;0;0;1;7;0;0;0;3;0;14;0;0;1.00;24;
3002614854;0;7795815050069;Accesorios;ANILINAS COLIBRI PARDO CLARO;HOFFMAN, JOSE;1335.26;2261.93;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0.00;3;
3002616842;0;7795815050229;Accesorios;ANILINAS COLIBRI ROJO FUERTE;HOFFMAN, JOSE;1335.27;2261.95;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;2;0;0;0.00;5;
3002616847;0;7795815050199;Accesorios;ANILINAS COLIBRI ROSA ;HOFFMAN, JOSE;1335.27;2261.95;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0.00;4;
3002616854;0;7795815050267;Accesorios;ANILINAS COLIBRI VERDE CLARO;HOFFMAN, JOSE;1335.26;2261.93;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0.00;3;
3002616846;0;2952;Accesorios;ANILINAS COLIBRI VERDE OSCURO;HOFFMAN, JOSE;1335.27;2261.95;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0.00;2;
3002616855;0;2957;Accesorios;ANILINAS COLIBRI VIOLETA ;HOFFMAN, JOSE;1335.27;2261.95;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0.00;3;
3002611550;0;7798082302206;Accesorios;ANILLOS DIGITALES LENOX T.CH. X2;LENOX;6734.83;11408.80;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0.00;1;
3002611553;0;7798082302237;Accesorios;ANILLOS DIGITALES LENOX T.E/GDE.X2;LENOX;6734.83;11408.80;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0.00;1;
3002611552;0;7798082302220;Accesorios;ANILLOS DIGITALES LENOX T.GDE.X2;LENOX;6734.83;11408.80;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0.00;4;
3002611551;0;7798082302213;Accesorios;ANILLOS DIGITALES LENOX T.MED.X2;LENOX;6734.83;11408.80;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1.00;2;
3002604161;8822613;7798026680247;Accesorios;ANTAR ELAS C/ABRO N*1 24CM FAJ;SOLDIST S.R.L.;9423.57;15963.53;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0.00;2;
3002604160;8822613;7798026680254;Accesorios;ANTAR ELAS C/ABRO N*2 24CM FAJ;SOLDIST S.R.L.;9423.57;15963.53;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0.00;2;
3002604176;8822615;7798026680360;Accesorios;ANTAR ELAS C/ABRO N*2 28CM FAJ;SOLDIST S.R.L.;10736.71;18187.99;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0.00;4;
3002604164;8822613;7798026680261;Accesorios;ANTAR ELAS C/ABRO N*3 24CM FAJ;SOLDIST S.R.L.;10735.50;18185.94;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2.00;2;
3002604175;8822615;7798026680377;Accesorios;ANTAR ELAS C/ABRO N*3 28CM FAJ;SOLDIST S.R.L.;12193.04;20655.01;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0.00;3;
3002604163;8822613;7798026680278;Accesorios;ANTAR ELAS C/ABRO N*4 24CM FAJ;SOLDIST S.R.L.;10735.50;18185.94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0.00;1;
3002604169;8822613;7798026680384;Accesorios;ANTAR ELAS C/ABRO N*4 28CM FAJ;SOLDIST S.R.L.;12193.04;20655.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0.00;1;
3002604162;8822613;7798026680285;Accesorios;ANTAR ELAS C/ABRO N*5 24CM FAJ;SOLDIST S.R.L.;11502.61;19485.42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0.00;2;
3002782192;0;1000000004205;Accesorios;ANTISEPTICO CLORHEXIDINA JAB. 4%  500ML C/DOSIF. - LACLORHEX;DROGUERIA BARRACAS;8590.18;14551.76;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0.00;2;
3002880414;0;7798026343548;Accesorios;APOS HIPO FIL+PAD10X30(20 ;RIASA S.R.L;21690.27;36743.32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0.00;1;
3002780881;0;7798026343104;Accesorios;APOS HIPO FILM T/TEG6X7(3 ;RIASA S.R.L;2479.09;4199.58;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1.00;1;
6000052323;0;1000000071825;Accesorios;APOSITO ALGODON/GASA 7X20 SIMPLE X250 - DIALMED;DROGUERIA BARRACAS;40680.50;68912.77;0;0;0;0;0;0;0;0;0;0;0;0;1;-1;0;0;0;0;0;0;1.00;-1;
3002670626;0;7792009011592;Accesorios;APOSITO QUIR SYRA 10X20 X6UNID (L) ;SYRA S.A.;3543.68;6002.99;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;1;
2026700001;9932542;7798018490014;Accesorios;AQUA LENT MULTIACCION PLUS sol.p/lentes bl.x 240 ml;INMUNOLAB;0.00;42.16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0.00;1;
3002672932;0;7790808036631;Accesorios;ASPEN DIGITAL FEVER BLUE 60 SEG TER;TENACTA S.A.;3841.87;6508.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0.00;1;
3002603502;8822478;7793066242028;Accesorios;ATUCHA AGUA CALIENTE CON FUNDA ACC;H.COZZA Y M.A.FERNANDEZ S.R.L.;952.90;1614.21;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;3;
3002600928;8820827;7793066380126;Accesorios;ATUCHA CHATA PLASTICA ACC ;H.COZZA Y M.A.FERNANDEZ S.R.L.;6429.29;10891.22;0;0;0;0;0;0;0;1;0;1;0;2;0;0;0;0;0;0;0;0;0.00;4;
3002600930;8820829;7793066120005;Accesorios;ATUCHA N°0 PER GOM ;H.COZZA Y M.A.FERNANDEZ S.R.L.;1993.73;3377.38;0;0;0;0;0;0;0;1;0;1;0;1;0;4;0;0;0;2;0;1;0.00;10;
3002601015;8820856;7793066120104;Accesorios;ATUCHA N°10 PER GOM ;H.COZZA Y M.A.FERNANDEZ S.R.L.;4886.59;8277.88;0;0;0;0;0;0;0;2;0;1;0;1;0;0;0;0;0;1;0;0;0.00;5;
3002601014;8820856;7793066120128;Accesorios;ATUCHA N°12 PER GOM ;H.COZZA Y M.A.FERNANDEZ S.R.L.;5167.22;8753.27;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0.00;4;
3002601013;8820856;7793066120142;Accesorios;ATUCHA N°14 PER GOM ;H.COZZA Y M.A.FERNANDEZ S.R.L.;5817.55;9854.93;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.00;1;
3002601012;8820856;7793066120166;Accesorios;ATUCHA N°16 PER GOM ;H.COZZA Y M.A.FERNANDEZ S.R.L.;6964.01;11797.03;0;0;0;0;1;-1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1.00;1;
3002600979;8820840;7793066120029;Accesorios;ATUCHA N°2 PER GOM ;H.COZZA Y M.A.FERNANDEZ S.R.L.;2441.61;4136.09;0;0;0;0;0;0;0;1;0;0;0;1;0;2;0;0;0;4;0;0;0.00;8;
3002601018;8820857;7793066120043;Accesorios;ATUCHA N°4 PER GOM ;H.COZZA Y M.A.FERNANDEZ S.R.L.;2886.62;4889.93;0;0;0;1;0;0;0;2;0;1;0;1;0;2;0;0;0;0;0;0;0.00;7;
3002601017;8820857;7793066120067;Accesorios;ATUCHA N°6 PER GOM ;H.COZZA Y M.A.FERNANDEZ S.R.L.;3372.22;5712.54;0;0;0;1;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;1.00;3;
3002601016;8820856;7793066120081;Accesorios;ATUCHA N°8 PER GOM ;H.COZZA Y M.A.FERNANDEZ S.R.L.;4258.28;7213.53;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0;0;0;3;0;0;0.00;7;
3002600977;8820840;7793066380041;Accesorios;ATUCHA ORINAL PLASTICO HOMBRE ACC;H.COZZA Y M.A.FERNANDEZ S.R.L.;2251.10;3813.36;0;1;0;0;0;0;0;2;0;2;1;0;0;0;0;2;0;0;0;2;1.00;9;
3002607968;0;7793066170017;Accesorios;ATUCHA PEINE PEDICUL (MANGO ACERO);PERFUMERIA GENERAL PAZ;6936.88;11751.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00;1;
3002608202;0;7793066300049;Accesorios;ATUCHA TAPON OIDO SILICONA;H.COZZA Y M.A.FERNANDEZ S.R.L.;1832.75;3104.68;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;2;0;0;1.00;3;
2002100036;9945304;7790375002688;Accesorios;BAGOVIT FACIAL PRO ESTRUCTURA Cr.antiag.nutr.nochex60g;BAGÓ;1181.99;1930.78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0.00;1;
9999900633;7700633;0;Accesorios;BALANZA ;Propios IF;0.00;500.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;146;90;10;-89;0;0;156.00;1;
3002625627;0;7798028009640;Accesorios;BALANZA LISFAR ANALOGICA MECANICA 130KG;LISTEN S.A.C.I.Y M.;30647.86;51917.47;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0.00;2;
3002729023;0;7798149649701;Accesorios;BARBIJOS ATOM-PROTECT CONICET X 1 UNID.;ACCESORIOS;458.16;776.12;0;0;0;0;0;0;0;7;0;5;0;2;0;0;0;0;0;0;0;0;0.00;14;
3002606372;8823186;7793066000130;Accesorios;BEBEFANTITOS ASPIRADOR NASAL GOMA ACC;H.COZZA Y M.A.FERNANDEZ S.R.L.;2433.35;4122.09;0;0;0;0;0;1;0;1;1;1;1;5;0;0;0;1;0;0;0;2;2.00;11;
3002600978;8820840;7793066200042;Accesorios;BEBEFANTITOS PEZONERA PLASTICA ACC;H.COZZA Y M.A.FERNANDEZ S.R.L.;1321.32;2238.32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0.00;2;
3002647277;0;7798068820533;Accesorios;BICARBONATO DE SODIO DASIPA ESTUCHE X 100 GR. ;DMG BG TRIM SOFEET;687.50;1164.62;0;0;0;0;0;0;0;0;0;0;0;0;1;-1;0;0;0;0;0;0;1.00;-1;
2022800009;9935450;7795354820352;Accesorios;BIR crema de afeitar x 50 g;SZAMA;0.00;476.95;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0.00;1;
6000021459;0;7798026341063;Accesorios;BLISTER INDIVIDUAL 5,00 CM X 4,5 MT COLOR ROJO ;BUENOS AIRES VISION;2041.28;3457.93;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;1;
3002641526;0;7798082442940;Accesorios;BODY CARE ABIERTA BC1106 L ROD;NEOTEKSA SA;16788.22;28439.24;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;1;
3002641544;0;7798082442933;Accesorios;BODY CARE ABIERTA BC1106 M ROD;NEOTEKSA SA;16788.22;28439.24;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0.00;2;
3002641545;0;7798082442957;Accesorios;BODY CARE ABIERTA BC1106 XL ROD;NEOTEKSA SA;16788.22;28439.24;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;2;
3002641546;0;7798082442964;Accesorios;BODY CARE ABIERTA BC1106 XXL ROD;NEOTEKSA SA;16788.22;28439.24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0.00;2;
3002603883;8822573;7798082441493;Accesorios;BODY CARE AJUSTE BANDA ELAS 1402 TL TOB;NEOTEKSA SA;9076.99;15376.42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.00;1;
3002603884;8822573;7798082441486;Accesorios;BODY CARE AJUSTE BANDA ELAS 1402 TM TOB;NEOTEKSA SA;9076.99;15376.42;0;1;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;1;0;1;0.00;6;
3002603885;8822573;7798082441479;Accesorios;BODY CARE AJUSTE BANDA ELAS 1402 TS TOB;NEOTEKSA SA;9076.99;15376.42;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;2;0;0;0.00;4;
3002603886;8822573;7798082441509;Accesorios;BODY CARE AJUSTE BANDA ELAS 1402 TXL TOB;NEOTEKSA SA;9076.99;15376.42;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0.00;1;
3002603887;8822573;7798082444555;Accesorios;BODY CARE AJUSTE BANDA ELAS1402 TXXL TOB;NEOTEKSA SA;9076.99;15376.42;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0.00;3;
3002604168;8822613;7798082442797;Accesorios;BODY CARE ANTIFAZ GEL UNIV 2009 COM;NEOTEKSA SA;5563.23;9424.11;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;1;0.00;4;
3002606608;8823265;7798082443305;Accesorios;BODY CARE ARTIC CORTA VELCRO 1105 L ROD;NEOTEKSA SA;27682.77;46894.61;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00;1;
3002641597;0;7798082440489;Accesorios;BODY CARE BALLENA C/VELCR BC1104 XL ROD;NEOTEKSA SA;31327.62;53068.99;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0.00;2;
3002641598;0;7798082440496;Accesorios;BODY CARE BALLENA C/VELCR BC1104 XXL ROD;NEOTEKSA SA;31327.62;53068.99;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.00;1;
3002641527;0;7798082440472;Accesorios;BODY CARE BALLENADA C/VELCR BC1104 L ROD;NEOTEKSA SA;31327.62;53068.99;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0.00;3;
3002641596;0;7798082440465;Accesorios;BODY CARE BALLENADA C/VELCR BC1104 M ROD;NEOTEKSA SA;31327.62;53068.99;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;1;0;0;0.00;4;
3002641595;0;7798082440397;Accesorios;BODY CARE BALLENADA C/VELCR BC1104 S ROD;NEOTEKSA SA;16498.43;27948.34;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.00;1;
3002867245;0;7798082440458;Accesorios;BODY CARE BALLENADA C/VELCR BC1104 S ROD;NEOTEKSA SA;31327.62;53068.99;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.00;1;
3002711071;0;7798082449901;Accesorios;BODY CARE BARBIJOS SOFT TRICAPA KIDS CHICO X 1UNIDAD;BODY CARE;2243.59;3800.64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0.00;2;
3002606566;8823257;7798082445828;Accesorios;BODY CARE BOLSA PARA FRIO/CALOR BOL;NEOTEKSA SA;13032.91;22077.75;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.00;1;
3002603847;8822567;7798082442025;Accesorios;BODY CARE BOOMERANG 1603 TL MUÑ;NEOTEKSA SA;7389.37;12517.59;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;1.00;3;
3002603848;8822567;7798082442018;Accesorios;BODY CARE BOOMERANG 1603 TM MUÑ;NEOTEKSA SA;7389.37;12517.59;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;2;0.00;5;
3002603849;8822567;7798082442001;Accesorios;BODY CARE BOOMERANG 1603 TS MUÑ;NEOTEKSA SA;7389.37;12517.59;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0.00;2;
3002610573;0;7798082446900;Accesorios;BODY CARE CALZA TERM PESCADORA TS;PERFUMERIA GENERAL PAZ;29438.94;49869.56;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0.00;1;
3002603845;8822567;7798082440014;Accesorios;BODY CARE CHICO 2006 PRO BUC;NEOTEKSA SA;2791.12;4728.16;0;1;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0.00;4;
3002603947;8822581;7798082441981;Accesorios;BODY CARE CON VELCRO 1601 TL MUÑ;NEOTEKSA SA;5057.75;8567.83;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0.00;4;
3002603948;8822581;7798082441974;Accesorios;BODY CARE CON VELCRO 1601 TM MUÑ;NEOTEKSA SA;5057.75;8567.83;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0.00;2;
3002604243;8822627;7798082441967;Accesorios;BODY CARE CON VELCRO 1601 TS MUÑ;NEOTEKSA SA;5057.75;8567.83;0;0;0;0;0;0;0;1;0;0;0;3;0;0;0;0;0;1;0;0;0.00;5;
3002603906;8822575;7798082442407;Accesorios;BODY CARE CORTA ECONOMICA 1102E TL ROD;NEOTEKSA SA;8749.75;14822.08;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;1;0;1;0;0;0.00;5;
3002603907;8822575;7798082442391;Accesorios;BODY CARE CORTA ECONOMICA 1102E TM ROD;NEOTEKSA SA;8749.75;14822.08;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;2;1;-1;0;1;1.00;5;
3002603915;8822577;7798082442384;Accesorios;BODY CARE CORTA ECONOMICA 1102E TS ROD;NEOTEKSA SA;8749.75;14822.08;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;2;0;0;0.00;5;
